Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2014,EAV-060603-U,Waste containing sulfide (without 060602),4.0,0.0
2014,EAV-060699-U,Sulphur-containing chemicals: wastes n.e.s.,3.0,2.6
2014,EAV-060701-G,Asbestos-containing waste from electrolysis,,
2014,EAV-060702-G,Activated carbon from chlorine production,,
2014,EAV-060703-G,Barium sulfate sludge containing mercury,,
2014,EAV-060704-G,"Solutions and acids, e.g. contact acid",3.0,0.6
2014,EAV-060799-U,Halogens: wastes n.e.c.,5.0,0.6
2014,EAV-060802-G,Hazardous waste containing chlorosilanes,4.0,12.8
2014,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",15.0,20.9
2014,EAV-060902-U,Phosphorous slag,,
2014,EAV-060903-G,Calcium-based reaction wastes,,
2014,EAV-060904-U,Calcium-based reaction waste (without 060903),,
2014,EAV-060999-U,Chemicals containing phosphorus: wastes n.e.c.,,
2014,EAV-061002-G,Nitrogen.Chemistry.: Waste with hazardous fabrics,9.0,0.1
2014,EAV-061099-U,Nitrogen-containing chemicals: wastes n.e.c.,,
2014,EAV-061101-U,Calcium-based reaction wastes a. titanium dioxide,,
2014,EAV-061199-U,"Inorganic pigments, colourants: waste not otherwise specified",3.0,0.8
2014,EAV-061301-G,"Inorganic pesticides, wood preservatives",11.0,0.0
2014,EAV-061302-G,Used activated carbon (without 060702),96.0,2.3
2014,EAV-061303-U,Carbon black,36.0,3.1
2014,EAV-061304-G,Waste from asbestos processing,5.0,0.0
2014,EAV-061305-G,Oven and chimney soot,,
2014,EAV-061399-U,Inorganic chemical processes: wastes not otherwise specified,10.0,0.1
2014,EAV-07,Waste from organic chemical processes,,
2014,EAV-070101-G,"Organic basic chemicals: Aqueous wash bottles, mother liquors",211.0,32.0
2014,EAV-070103-G,"Organic basic chemicals: halogen organic solvents, washing bottle",239.0,45.7
2014,EAV-070104-G,"Org.Basic chemistry: solvents, washing liquids",909.0,130.6
2014,EAV-070107-G,"Org.basic chemistry: halogen reaction, distillation residue.",38.0,62.2
2014,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,144.0,140.4
2014,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",15.0,0.6
2014,EAV-070110-G,"Org.Grundchemik.: And. Filter cake, absorbent mat.",47.0,4.6
2014,EAV-070111-G,Org. basic chemistry: sludge (company waste water tank),41.0,6.5
2014,EAV-070112-U,sludge from on-site Waste water tank (oh.070111),16.0,1.7
2014,EAV-070199-U,Bulk organic chemicals: wastes not otherwise specified,24.0,1.8
2014,EAV-070201-G,"Plastics: Aqueous washes, mother liquors",53.0,20.4
2014,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",37.0,2.6
2014,EAV-070204-G,"Plastics: organ. Solvents, washing liquids",152.0,36.8
2014,EAV-070207-G,Plastics: Halog. Reaction and distillation residues,37.0,6.4
2014,EAV-070208-G,Plastics: reaction and distillation residues,822.0,114.1
2014,EAV-070209-G,"Plastics: Halog. Filter cake, absorbent mat.",10.0,0.2
2014,EAV-070210-G,"Plastics: And. filter cakes, absorbent materials",38.0,4.9
2014,EAV-070211-G,Plastics: sludge (company wastewater tank),10.0,1.3
2014,EAV-070212-U,sludge from on-site Sewage treatment (oh.070211),34.0,17.9
2014,EAV-070213-U,Plastic waste,1414.0,360.6
2014,EAV-070214-G,Plastics: waste from additives with hazardous substances.,60.0,3.7
2014,EAV-070215-U,Waste additives (excluding 070214),32.0,0.9
2014,EAV-070216-G,Plastics: Dangerous. Waste containing silicones,7.0,0.8
2014,EAV-070217-U,Waste containing silicon (without 070216),16.0,1.4
2014,EAV-070299-U,"Plastics, fibers, synthetic rubber: waste not otherwise specified",187.0,79.9
2014,EAV-070301-G,"Organic dyes: Aqueous wash bottles, mother liquors",36.0,2.4
2014,EAV-070303-G,"Organic dyes: halogen org. solvent, washbottle",35.0,0.7
2014,EAV-070304-G,"Organic dyes: solvents, washing liquids",375.0,30.7
2014,EAV-070307-G,"Organic dyes: Halog. Reaction, distillation residue",6.0,1.4
2014,EAV-070308-G,Organic dyes: reaction and distillation residues,22.0,3.8
2014,EAV-070309-G,"Organic dyes: Halog. Filter cake, absorbent mat.",5.0,0.3
2014,EAV-070310-G,"Organic dyes: Other filter cakes, absorbent mat.",8.0,0.7
2014,EAV-070311-G,Organic dyes: sludge (own waste water treatment),,
2014,EAV-070312-U,Sludge from company-owned Waste water tank (oh.070311),8.0,0.6
2014,EAV-070399-U,"Organic dyes, pigments: wastes not otherwise specified",3.0,0.3
2014,EAV-070401-G,"Pesticides: Aqueous wash, mother liquor.",17.0,37.3
2014,EAV-070403-G,"Plant protection agent.: halogen organic solvents, washing fl.",15.0,93.4
2014,EAV-070404-G,"Pesticides: Organ. solvent, washbottle",17.0,30.7
2014,EAV-070407-G,"Crop Protection With.: Halogen.Reaction, Distill.reset",13.0,37.2
2014,EAV-070408-G,"Pesticides: reaction, distillation residue",10.0,9.1
2014,EAV-070409-G,"Plant protection products: halogen filter cake, absorbent mat",5.0,0.3
2014,EAV-070410-G,"Pesticides: filter cake, absorbent mat.",7.0,0.6
2014,EAV-070411-G,Plant protection: sludge (company wastewater tank),3.0,0.4
2014,EAV-070412-U,Sludge from company-owned Sewage treatment (oh.070411),3.0,0.3
2014,EAV-070413-G,Pesticides: solid waste with dangerous goods,11.0,2.1
2014,EAV-070499-U,"Pesticides, etc.: Waste not otherwise specified",4.0,0.2
2014,EAV-070501-G,"Pharmaceuticals: Aqueous detergents, mother liquors",42.0,75.2
2014,EAV-070503-G,"Pharmaceuticals: halogen organic solvents, wash fl.",50.0,19.7
2014,EAV-070504-G,"Pharmaceuticals: organ. Solvents, washing liquids.",81.0,68.7
2014,EAV-070507-G,"Pharmaceuticals: halogen reaction, distillation residue.",10.0,2.5
2014,EAV-070508-G,Pharmaceuticals: reaction and distillation residues,47.0,4.1
2014,EAV-070509-G,"Pharmaceuticals: halogen filter cake, absorbent mat.",9.0,0.5
2014,EAV-070510-G,"Pharmaceuticals: filter cakes, absorbent materials",15.0,1.4
2014,EAV-070511-G,Pharmaceuticals: Sludge (company wastewater tank),4.0,0.1
2014,EAV-070512-U,sludge from on-site Sewage treatment (oh.070511),11.0,15.2
2014,EAV-070513-G,Pharmaceuticals: Solid waste with hazardous substances,36.0,1.4
2014,EAV-070514-U,Solid waste (excluding 070513),43.0,18.1
2014,EAV-070599-U,Pharmaceuticals: wastes n.e.c.,80.0,22.1
2014,EAV-070601-G,"Fats, soaps: Aqueous washing bottles, mother liquors",121.0,25.0
2014,EAV-070603-G,"Fats, soaps: halogen organic solvents, washing fl.",40.0,0.2
2014,EAV-070604-G,"Fats, soaps: organ. Solvents, washing liquids.",153.0,5.5
2014,EAV-070607-G,"Fats, soaps: halogen reaction and distillation residue.",3.0,0.2
2014,EAV-070608-G,"Fats, soaps: reaction, distillation residues",462.0,40.2
2014,EAV-070609-G,"Fats, soaps: halogen filter cake, absorbent mat.",,
2014,EAV-070610-G,"Fats, soaps: filter cakes, absorbent materials",24.0,1.8
2014,EAV-070611-G,"Fats, soaps: sludge (in-house waste water treatment)",5.0,0.2
2014,EAV-070612-U,sludge from on-site Waste water tank (oh.070611),26.0,9.0
2014,EAV-070699-U,"Fats, soaps, lubricants, etc.: waste not otherwise specified",140.0,28.3
2014,EAV-070701-G,"Fine Chemicals: Aqueous washes, mother liquors",241.0,70.1
2014,EAV-070703-G,"Fine chemicals: halogen organic solvents, washing fl.",153.0,15.4
2014,EAV-070704-G,"Fine chemicals: organ. Solvents, washing liquids.",630.0,63.1
2014,EAV-070707-G,"Fine chemicals: halogen reaction, distillation residue.",27.0,11.2
2014,EAV-070708-G,Fine chemicals: reaction and distillation residues.,68.0,93.3
2014,EAV-070709-G,"Fine chemicals: halogen filter cake, absorption mat.",14.0,0.5
2014,EAV-070710-G,"Fine chemicals: filter cake, absorbent materials",39.0,2.3
2014,EAV-070711-G,Fine chemicals: sludge (own waste water treatment),15.0,1.2
2014,EAV-070712-U,sludge from on-site Sewage treatment (oh.070711),8.0,1.1
2014,EAV-070799-U,Fine chemicals: wastes not otherwise specified,10.0,1.1
2014,EAV-08,"Waste from MFSU from coatings, adhesives, etc.",,
2014,EAV-080111-G,Paint and varnish waste with hazardous substances,4006.0,43.7
2014,EAV-080112-U,Paint and varnish waste (without 080111),806.0,14.6
2014,EAV-080113-G,Paint and varnish sludge with dangerous substances,566.0,25.2
2014,EAV-080114-U,Paint and varnish sludge (without 080113),48.0,2.5
2014,EAV-080115-G,"Paints, varnishes: Aqueous sludges with dangerous St.",184.0,15.2
2014,EAV-080116-U,Aqueous sludge (without 080115),497.0,42.0
2014,EAV-080117-G,Waste from paint or varnish removal,291.0,18.4
2014,EAV-080118-U,Waste from paint or varnish removal (without 080117),139.0,2.8
2014,EAV-080119-G,Aqueous suspensions containing paints or varnishes,35.0,9.2
2014,EAV-080120-U,Aqueous suspensions (without 080119),123.0,8.3
2014,EAV-080121-G,Paint or varnish remover waste,21.0,2.2
2014,EAV-080199-U,"Paints, varnishes: waste not otherwise specified",4.0,0.2
2014,EAV-080201-U,Waste coating powder,116.0,4.0
2014,EAV-080202-U,Aqueous sludge containing ceramic materials,26.0,5.0
2014,EAV-080203-U,"Aqueous suspensions, ceramic. containing materials",8.0,0.8
2014,EAV-080299-U,Other coatings: wastes n.e.c.,,
2014,EAV-080307-U,Aqueous sludges containing printing inks,11.0,0.3
2014,EAV-080308-U,"Aqueous liquid waste, i.e. Printing inks included",58.0,7.7
2014,EAV-080312-G,Waste printing ink containing hazardous substances,297.0,6.5
2014,EAV-080313-U,Waste printing ink (without 080312),77.0,2.7
2014,EAV-080314-G,Printing ink sludge containing dangerous substances,91.0,4.1
2014,EAV-080315-U,Printing ink sludge (without 080314),15.0,0.9
2014,EAV-080316-G,Waste from etching solutions,,
2014,EAV-080317-G,Waste toner containing hazardous substances,45.0,0.1
2014,EAV-080318-U,Toner waste (without 080317),325.0,1.9
2014,EAV-080319-G,Dispersion beer,5.0,0.1
2014,EAV-080399-U,Printing inks: waste n.e.c.,5.0,0.1
2014,EAV-080409-G,Adhesive and sealant waste with hazardous St.,1213.0,22.4
2014,EAV-080410-U,Adhesive and sealant waste (without 080409),283.0,13.8
2014,EAV-080411-G,Adhesive and sealant containing slurries,10.0,0.4
2014,EAV-080412-U,Adhesive and sealant retention. Sludge(oh.080411),9.0,0.6
2014,EAV-080413-G,"Adhesives, sealants: Aqueous sludges with dangerous substances.",16.0,0.3
2014,EAV-080414-U,Aqueous sludge (without 080413),56.0,5.7
2014,EAV-080415-G,"Adhesive, sealant: Aqueous liquid waste with hazardous st",13.0,1.1
2014,EAV-080416-U,Aqueous liquid waste (excluding 080415),43.0,6.4
2014,EAV-080417-G,"Adhesives, sealants: resin oils",3.0,0.0
2014,EAV-080499-U,"Adhesives, sealants: wastes not otherwise specified",4.0,0.9
2014,EAV-080501-G,isocyanate waste,64.0,0.3
2014,EAV-09,Waste from the photographic industry,,
2014,EAV-090101-G,Water-based developers and activator solutions,412.0,0.7
2014,EAV-090102-G,Offset Printing Plate Developer Solutions,279.0,4.0
2014,EAV-090103-G,Solvent-based developer solutions,14.0,0.0
2014,EAV-090104-G,fixing baths,332.0,0.4
2014,EAV-090105-G,bleach solutions and bleach-fix baths,8.0,0.1
2014,EAV-090106-G,Waste containing silver from containers photographer. waste,3.0,0.0
2014,EAV-090107-U,Films and photographic papers with silver,176.0,0.5
2014,EAV-090108-U,Films and photographic papers without silver,119.0,2.4
2014,EAV-090110-U,Disposable cameras without batteries,,
2014,EAV-090111-G,Disposable cameras with batteries (160601-160603),,
2014,EAV-090112-U,Disposable cameras with batteries (without 090111),,
2014,EAV-090113-G,Waste from silver recovery (excluding 090106),,
2014,EAV-090199-U,Photographic industry: waste n.e.c.,6.0,0.0
2014,EAV-10,Waste from thermal processes,,
2014,EAV-100101-U,"rust and. Boiler ash, slag, boiler stone (oh.100104)",447.0,5229.4
2014,EAV-100102-U,Filter dust from coal firing,49.0,1519.8
2014,EAV-100103-U,Filter dust from peat firing and combustion,36.0,105.0
2014,EAV-100104-G,Filter dust and boiler dust from oil firing,8.0,2.9
2014,EAV-100105-U,Calcium-based reaction wastes in solid form,52.0,784.6
2014,EAV-100107-U,Calcium-based reaction wastes (sludges),13.0,18.5
2014,EAV-100109-G,sulfuric acid,,
2014,EAV-100113-G,Filter dust from emulsified hydrocarbons,,
2014,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",12.0,4.6
2014,EAV-100115-U,"Rust and Boiler ash, slag, boiler stone (oh.100114)",42.0,1113.6
2014,EAV-100116-G,Fly ash from waste co-incineration,12.0,9.3
2014,EAV-100117-U,Filter dust from co-incineration of waste (oh.100116),28.0,3623.8
2014,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,39.0,6.2
2014,EAV-100119-U,"Waste a. Exhaust gas treatment (without 100105,100107,100118)",23.0,16.9
2014,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",6.0,1.6
2014,EAV-100121-U,sludge a. operational waste water treatment (oh.100120),7.0,1.7
2014,EAV-100122-G,"Power plants, etc.: Aqueous sludge a. boiler cleaning",,
2014,EAV-100123-U,Aqueous sludge from boiler cleaning (oh.100122),6.0,0.1
2014,EAV-100124-U,"Power plants, among others: sands from fluidized bed combustion",,
2014,EAV-100125-U,Waste from storage and preparation of fuel.,8.0,11.7
2014,EAV-100126-U,Waste from cooling water treatment,3.0,1.0
2014,EAV-100199-U,Power plants and other incineration plants: waste not otherwise specified,4.0,0.1
2014,EAV-100201-U,"Iron, steel ind.: Waste from slag processing",17.0,1096.8
2014,EAV-100202-U,Iron and steel ind.: Unprocessed slag,62.0,1792.2
2014,EAV-100207-G,Iron and steel industry: Solid waste from exhaust gas treatment.,66.0,265.2
2014,EAV-100208-U,Waste from exhaust gas treatment (excluding 100207),30.0,366.1
2014,EAV-100210-U,"Iron, steel ind.: mill scale",79.0,467.2
2014,EAV-100211-G,"Iron, steel ind.: oil hold. Drain from cooling water tank.",6.0,2.9
2014,EAV-100212-U,Waste from cooling water treatment (without 100211),3.0,9.1
2014,EAV-100213-G,"Iron, steel ind.: sludge, filter c. from exhaust gas tank.",8.0,194.8
2014,EAV-100214-U,muds and. Filter cake from flue gas tank. (oh.100213),5.0,63.4
2014,EAV-100215-U,Iron and steel ind.: Other sludges and filter cakes,19.0,261.7
2014,EAV-100299-U,Iron and steel industry: waste n.e.c.,13.0,3.9
2014,EAV-100302-U,Aluminum metallurgy: anode scrap,3.0,0.4
2014,EAV-100304-G,Aluminum metallurgy: slags from initial melting,,
2014,EAV-100305-U,Aluminum metallurgy: alumina waste,12.0,1.8
2014,EAV-100308-G,Aluminum metallurgy: salt slag a.Zzweischmel.,6.0,134.2
2014,EAV-100309-G,Aluminum metallurgy: Black scabs a.Zweitsch.,3.0,1.5
2014,EAV-100315-G,Aluminum Metallurgy: Scum (flammable),34.0,20.5
2014,EAV-100316-U,Scum (without 100315),40.0,83.2
2014,EAV-100317-G,Aluminum Metallurgy:Tarh. Abf. from anode manufacturer.,,
2014,EAV-100318-U,Waste from anode production (excluding 100317),,
2014,EAV-100319-G,Aluminum metallurgy: filter dust with hazardous St.,12.0,1.9
2014,EAV-100320-U,Filter dust (without 100319),3.0,0.8
2014,EAV-100321-G,Aluminum Metallurgy: Other Particles and Dust,9.0,0.6
2014,EAV-100322-U,Other particles and dust (excluding 100321),4.0,1.5
2014,EAV-100323-G,Aluminum metallurgy: Solid waste a. Exhaust gas treatment,17.0,10.7
2014,EAV-100324-U,Solid waste from exhaust gas treatment (oh. 100323),,
2014,EAV-100325-G,"Aluminum metallurgy: sludge, filter k.a.",4.0,0.3
2014,EAV-100326-U,muds and. Filter cake from flue gas tank. (oh.100325),,
2014,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank.,,
2014,EAV-100328-U,Waste from cooling water treatment (excluding 100327),,
2014,EAV-100329-G,Aluminum Metallurgy: Abf.a. Beh. v.Salt slags,,
2014,EAV-100330-U,Waste from treatment of salt slag (oh.100329),,
2014,EAV-100399-U,Aluminum metallurgy: wastes n.e.c.,4.0,0.0
2014,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),5.0,89.4
2014,EAV-100402-G,"Lead metal: dross, scum (first, second scum)",60.0,7.9
2014,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,
2014,EAV-100404-G,Lead metallurgy: filter dust,4.0,3.3
2014,EAV-100405-G,Lead Metallurgy: Other particles and dust,6.0,3.5
2014,EAV-100406-G,Lead metallurgy: Solid waste from exhaust gas treatment,,
2014,EAV-100407-G,"Lead Metallurgy: Slurries, Filterk. from exhaust gas tank",,
2014,EAV-100409-G,Lead Metallurgy: Oilh. Waste from cooling water tank.,,
2014,EAV-100410-U,Waste from cooling water treatment (excluding 100409),,
2014,EAV-100499-U,Lead metallurgy: wastes not otherwise specified,,
2014,EAV-100501-U,"Zinc metallurgy: slag (primary, secondary smelting)",,
2014,EAV-100503-G,Zinc Metallurgy: Filter Dust,7.0,0.4
2014,EAV-100504-U,Zinc Metallurgy: Other Particles and Dust,16.0,3.3
2014,EAV-100505-G,Zinc Metallurgy: Solid waste from flue gas treatment,,
2014,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank.",,
2014,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tanks,,
2014,EAV-100509-U,Waste from cooling water treatment (excluding 100508),,
2014,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,
2014,EAV-100511-U,"Scabies, scum (without 100510)",8.0,2.7
2014,EAV-100599-U,Zinc metallurgy: wastes not otherwise specified,,
2014,EAV-100601-U,"Copper metallurgy: slags (primary, secondary smelting)",4.0,66.4
2014,EAV-100602-U,"Copper metal: dross, scum (first, second scum)",7.0,9.7
2014,EAV-100603-G,Copper metallurgy: filter dust,7.0,1.5
2014,EAV-100604-U,Copper Metallurgy: Other particles and dust,7.0,2.9
2014,EAV-100606-G,Copper Metallurgy: Solid Waste a.Flue Gas Treatment,,
2014,EAV-100607-G,"Copper metallurgy: slurries, filter c. a. Exhaust gas tank",,
2014,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank.,,
2014,EAV-100610-U,Waste from cooling water treatment (without 100609),,
2014,EAV-100699-U,Copper metallurgy: wastes not otherwise specified,,
2014,EAV-100701-U,"Silver metal etc.: slag (first, second melt)",3.0,0.2
2014,EAV-100702-U,"Silbermet.u.a.: dross, scum (first, second smear)",4.0,0.0
2014,EAV-100703-U,"Silver metal, among others: Solid waste from exhaust gas treatment",,
2014,EAV-100704-U,Silver metal etc.: Other particles and dust,7.0,0.2
2014,EAV-100705-U,"Silver metal, among other things: sludges, filter cakes in exhaust gas containers.",,
2014,EAV-100707-G,"Silver metal, among other things: oil-containing waste from cooling water tanks.",,
2014,EAV-100708-U,Waste from cooling water treatment (without 100707),,
2014,EAV-100799-U,"Silver, gold, platinum metallurgy: wastes not otherwise specified",,
2014,EAV-100804-U,Nonferrous Metallurgy: Particles and Dust,16.0,2.4
